producto_id,nombre,precio,descuento,categoria,subcategoria,color,talla
233,Gorro Tejido para Hombre 32505,44900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas","Café, Navy, Gris Ceniza",UNICA
234,Camisa Denim Manga Corta para Hombre 35155,119900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Azul Prusia,L
235,Camisa Textura Manga Larga para Hombre 36283,108675.0,-25.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Blanco,L
236,Botas en Cuero para Hombre 35437,263900.0,0.0,HOMBRE,"Zapatos, Botas","Café, Negro",42
237,Camisa Casual con Textura para Hombre 09639,59900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Azul Malibú,L
238,Pantaloneta Estampada para Hombre 24837,44950.0,-50.0,HOMBRE,"Ropa, Pantalonetas",Escarlata,L
239,Pantalón para Hombre en Mezclas Algodón 02521,279500.0,-35.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales",Gris Claro,42
240,Chaleco Business Premium Slim Fit para Hombre 30503,299900.0,0.0,HOMBRE,"Ropa, Chalecos Business, Chalecos",Negro,40
241,Bermuda Unicolor para Hombre 05467,106165.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Sandía,L
242,Blazer Business para Hombre 21881,218925.0,-25.0,HOMBRE,"Ropa, Blazers",Negro,L
243,Buzo Unicolor para Hombre 12290,64900.0,0.0,HOMBRE,"Ropa, Buzos","Azul Prusia, Negro, Gris",L
244,Camiseta Premium Regular Fit para Hombre 36155,50915.0,-15.0,HOMBRE,"Ropa, Camisetas",Amarillo Limón,L
245,Bermuda de Hombre en Denim con Lavandería 05421,101915.0,-15.0,HOMBRE,"Ropa, Bermudas",Azul Prusia,36
246,Camisa Business Cuadros para Hombre 11533,64900.0,0.0,HOMBRE,"Camisas, Camisas Business, Ropa",Gris Grafito,L
247,Camisa Formal Silueta Regular Fit para Hombre 25394,126900.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Formales",Turquesa,42
248,Camisa Business Estampada para Hombre 11567,69900.0,0.0,HOMBRE,"Camisas, Camisas Business, Ropa",Blanco,L
249,Pantaloneta de Baño Estampada para Hombre 38349,76415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Azul Malibú,L
250,Suéter Cuello Redondo Unicolor para Hombre 20015,114900.0,0.0,HOMBRE,"Ropa, Suéteres y Cardigans","Gris Oscuro, Negro, Azul Prusia",L
251,Camisa para Hombre Mezcla Viscosa 02829,160000.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Lino",Azul Prusia,L
252,Pantalón Unicolor Slim Fit para Hombre 35814,169900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales",Hueso,42
253,Pantorrillera Deportiva de Compresión para Hombre 30642,42900.0,0.0,HOMBRE,"Medias, Ropa Interior, Ropa",Negro,UNICA
254,Jean Silueta Slim con Lavado Azul Medio 37041,154900.0,0.0,HOMBRE,"Ropa, Jeans",Aguamarina,38
255,Polo Rayas para Hombre 12617,38165.0,-15.0,HOMBRE,"Polos, Ropa",Gris Granito,L
256,Mocasín Formal con Brogue Lateral 23973,227900.0,0.0,HOMBRE,"Mocasines, Zapatos","Negro, Chocolate",42
257,Camisa Formal Unicolor para Hombre 36744,87900.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Formales",Gris Grafito,42
258,Pantaloneta de Baño Estampada para Hombre 03046,144500.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Beige,L
260,Jean Slim Unicolor en Tono Oscuro para Hombre 05370,149900.0,0.0,HOMBRE,"Ropa, Jeans",Azul Prusia,36
261,Chaqueta Cazadora en Denim 35807,236900.0,0.0,HOMBRE,"Ropa, Chaquetas",Azul Prusia,L
262,Bermuda Para Hombre Mezclas Algodón 02908,178500.0,-15.0,HOMBRE,"Ropa, Bermudas",Aguamarina,40
263,Pantaloneta de Baño Estampada para Hombre 12502,42415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Azul Malibú,L
264,Medias Deportivas de Compresión para Hombre 30640,54900.0,0.0,HOMBRE,"Medias, Ropa Interior, Ropa",Negro,10-12
265,Chaqueta Acolchada para Hombre 32435,196900.0,0.0,HOMBRE,"Ropa, Chaquetas","Azul Marino, Granate, Negro, Verde Oscuro",L
266,Pantalón Unicolor Slim Fit para Hombre 12356,99900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales","Gris Oscuro, Marrón",38
267,Chaleco Casual Doble Faz con Cremallera Frontal 37120,209900.0,0.0,HOMBRE,"Ropa, Chalecos, Chalecos Casuales",Carmesí,L
